Price,Close,High,Low,Open,Volume,returns,return_squared,Regime_new,Regime_label
2014-01-03,6211.14990234375,6221.7001953125,6171.25,6194.5498046875,139000,-0.001608713160675422,2.5879580333303066e-06,1,Bear
2014-01-06,6191.4501953125,6224.7001953125,6170.25,6220.85009765625,118300,-0.0031767086647526764,1.0091477940714732e-05,1,Bear
2014-01-07,6162.25,6221.5,6144.75,6203.89990234375,138600,-0.004727369003838941,2.2348017698457178e-05,1,Bear
2014-01-08,6174.60009765625,6192.10009765625,6160.35009765625,6178.0498046875,146900,0.0020021483091771735,4.008597851941015e-06,0,Bull
2014-01-09,6168.35009765625,6188.0498046875,6148.25,6181.7001953125,150100,-0.0010127239331396106,1.0256097647537626e-06,1,Bear
2014-01-10,6171.4501953125,6239.10009765625,6139.60009765625,6178.85009765625,159900,0.0005024550880677336,2.5246111552515396e-07,1,Bear
2014-01-13,6272.75,6288.2001953125,6189.5498046875,6189.5498046875,135000,0.01628100492203701,0.0002650711212713934,2,HighVol
2014-01-14,6241.85009765625,6280.35009765625,6234.14990234375,6260.25,110200,-0.004938226534857065,2.4386081309566417e-05,1,Bear
2014-01-15,6320.89990234375,6325.2001953125,6265.2998046875,6265.9501953125,145900,0.012584959187806487,0.00015838119775875493,2,HighVol
2014-01-16,6318.89990234375,6346.5,6299.85009765625,6341.35009765625,153400,-0.0003164607110232277,1.0014738162132684e-07,1,Bear
2014-01-17,6261.64990234375,6327.10009765625,6246.35009765625,6306.25,167700,-0.009101413862469748,8.28357342959565e-05,1,Bear
2014-01-20,6303.9501953125,6307.4501953125,6243.35009765625,6261.75,122100,0.006732738974413205,4.5329774097582576e-05,0,Bull
2014-01-21,6313.7998046875,6330.2998046875,6297.89990234375,6320.14990234375,141700,0.00156123102385989,2.4374423098626004e-06,0,Bull
2014-01-22,6338.9501953125,6349.9501953125,6287.4501953125,6309.0498046875,137500,0.0039754873445066955,1.5804499626332897e-05,0,Bull
2014-01-23,6345.64990234375,6355.60009765625,6316.39990234375,6325.9501953125,120100,0.0010563529953923905,1.1158816508744757e-06,0,Bull
2014-01-24,6266.75,6331.4501953125,6263.89990234375,6301.64990234375,160300,-0.012511644446641086,0.00015654124675916473,2,HighVol
2014-01-27,6135.85009765625,6188.5498046875,6130.25,6186.2998046875,190400,-0.02110924516297498,0.00044560023135058256,2,HighVol
2014-01-28,6126.25,6163.60009765625,6085.9501953125,6131.85009765625,184100,-0.0015658165471230908,2.4517814592444784e-06,1,Bear
2014-01-29,6120.25,6170.4501953125,6109.7998046875,6161.0,146700,-0.0009798718785080376,9.601488982908703e-07,1,Bear
2014-01-30,6073.7001953125,6082.85009765625,6027.25,6067.0,208100,-0.007634938648466337,5.8292288165844977e-05,1,Bear
2014-01-31,6089.5,6097.85009765625,6067.35009765625,6082.75,146700,0.002597969830382306,6.7494472395766686e-06,0,Bull
2014-02-03,6001.7998046875,6074.85009765625,5994.4501953125,6058.7998046875,134900,-0.014506584850296355,0.00021044100401884774,2,HighVol
2014-02-04,6000.89990234375,6017.7998046875,5933.2998046875,5947.60009765625,183300,-0.00014994998915273514,2.2484999246905385e-08,1,Bear
2014-02-05,6022.39990234375,6028.0498046875,5962.0498046875,6004.25,166600,0.0035763930477856866,1.2790587232249792e-05,0,Bull
2014-02-06,6036.2998046875,6048.35009765625,5965.39990234375,6028.35009765625,185500,0.0023053743500808565,5.314750894010731e-06,0,Bull
2014-02-07,6063.2001953125,6079.9501953125,6030.89990234375,6077.64990234375,181900,0.004446536625011425,1.977168795756799e-05,0,Bull
2014-02-10,6053.4501953125,6083.0498046875,6046.39990234375,6072.7998046875,133100,-0.0016093560167322405,2.5900267885922636e-06,1,Bear
2014-02-11,6062.7001953125,6081.85009765625,6053.25,6072.4501953125,150500,0.0015268879138819519,2.331386701558779e-06,0,Bull
2014-02-12,6084.0,6106.60009765625,6077.39990234375,6085.35009765625,138500,0.003507096771439477,1.2299727764241202e-05,0,Bull
2014-02-13,6001.10009765625,6094.39990234375,5991.10009765625,6087.5498046875,153700,-0.013719572366101803,0.0001882266659087042,2,HighVol
2014-02-14,6048.35009765625,6056.39990234375,5984.60009765625,6023.75,140200,0.007842721688164616,6.150828347800765e-05,0,Bull
2014-02-18,6127.10009765625,6141.7001953125,6066.7998046875,6071.2998046875,126600,0.012936047030872241,0.00016734131278493854,2,HighVol
2014-02-19,6152.75,6160.35009765625,6125.75,6132.0498046875,95200,0.004177565596221632,1.7452054310734602e-05,0,Bull
2014-02-20,6091.4501953125,6129.10009765625,6086.4501953125,6127.14990234375,132100,-0.010012955663091487,0.00010025928111103587,1,Bear
2014-02-21,6155.4501953125,6159.64990234375,6108.0,6108.2998046875,112600,0.010451719302448996,0.00010923843637718493,0,Bull
2014-02-24,6186.10009765625,6191.85009765625,6130.7998046875,6140.9501953125,144900,0.004966955468135648,2.467064662244261e-05,0,Bull
2014-02-25,6200.0498046875,6216.85009765625,6176.60009765625,6205.7001953125,146300,0.002252469579198007,5.073619205212446e-06,0,Bull
2014-02-26,6238.7998046875,6245.9501953125,6202.10009765625,6202.4501953125,181700,0.006230499856538058,3.881912846232076e-05,0,Bull
2014-02-28,6276.9501953125,6282.7001953125,6228.10009765625,6228.4501953125,180600,0.00609639994140803,3.7166092245599834e-05,0,Bull
2014-03-03,6221.4501953125,6277.75,6212.25,6264.35009765625,144600,-0.008881194883291635,7.88756225550055e-05,1,Bear
2014-03-04,6297.9501953125,6302.14990234375,6215.7001953125,6216.75,166800,0.012221184683582093,0.00014935735507022154,0,Bull
2014-03-05,6328.64990234375,6336.25,6287.7998046875,6328.4501953125,160300,0.0048627132066446956,2.3645979730076738e-05,0,Bull
2014-03-06,6401.14990234375,6406.60009765625,6339.7001953125,6344.75,180700,0.011390718629937804,0.00012974847090641218,0,Bull
2014-03-07,6526.64990234375,6537.7998046875,6413.5498046875,6413.9501953125,284900,0.01941613337444026,0.0003769862352140529,2,HighVol
2014-03-10,6537.25,6562.2001953125,6487.35009765625,6491.7001953125,242100,0.0016228078999031938,2.6335054799882142e-06,0,Bull
2014-03-11,6511.89990234375,6562.85009765625,6494.25,6537.35009765625,239000,-0.0038853304216658053,1.5095792485521784e-05,1,Bear
2014-03-12,6516.89990234375,6546.14990234375,6487.2998046875,6497.5,175000,0.0007675304433891083,5.891029815290811e-07,1,Bear
2014-03-13,6493.10009765625,6561.4501953125,6476.64990234375,6491.75,167900,-0.0036586981147299726,1.3386071894728655e-05,1,Bear
2014-03-14,6504.2001953125,6518.4501953125,6432.7001953125,6447.25,177300,0.00170806245985478,2.9174773667651616e-06,0,Bull
2014-03-18,6516.64990234375,6574.9501953125,6497.64990234375,6532.4501953125,179300,0.0019122731206803513,3.6567884880765693e-06,0,Bull
2014-03-19,6524.0498046875,6541.2001953125,6506.0,6530.0,172500,0.0011348935723144095,1.2879834204805618e-06,0,Bull
2014-03-20,6483.10009765625,6523.64990234375,6473.25,6508.35009765625,142000,-0.006296512707220438,3.964607227218845e-05,1,Bear
2014-03-21,6493.2001953125,6522.89990234375,6485.7001953125,6515.2001953125,189900,0.001556699439417862,2.423313144683886e-06,0,Bull
2014-03-24,6583.5,6591.5,6510.5,6510.5,158400,0.013811013280164102,0.0001907440878248692,2,HighVol
2014-03-25,6589.75,6595.5498046875,6544.85009765625,6550.10009765625,168100,0.0009488927134847534,9.003973817044583e-07,0,Bull
2014-03-26,6601.39990234375,6627.4501953125,6580.60009765625,6615.64990234375,186600,0.0017663214289679917,3.1198913904315284e-06,0,Bull
2014-03-27,6641.75,6673.9501953125,6599.5,6613.10009765625,312400,0.006093750024184339,3.713378935724663e-05,0,Bull
2014-03-28,6695.89990234375,6702.60009765625,6643.7998046875,6673.0498046875,184800,0.00811990122114581,6.593279584116523e-05,0,Bull
2014-03-31,6704.2001953125,6730.0498046875,6662.39990234375,6723.14990234375,220600,0.0012388406011620149,1.5347260350874623e-06,0,Bull
